Year,ActionGeo_CountryCode,goldstein_score,tone
2021,LA,1.98,0.17
2021,TW,1.04,-1.41
2021,PF,1.81,-2.52
2021,BQ,-2,-2.38
2021,GM,0.94,-1.91
2021,IR,0.55,-2.98
2021,MC,1.38,-0.39
2021,YM,-0.88,-4.34
2021,ZA,1.14,-0.76
2021,GR,0.97,-1.36
2021,AG,0.36,-2.81
2021,GL,1.48,-0.68
2021,NR,1.52,-2.13
2021,AM,0.98,-2.05
2021,BK,-0.34,-4.14
2021,RB,0.41,-2.08
2021,CA,0.96,-1.33
2021,OS,0.93,-1.87
2021,EK,0.88,-1.91
2021,TK,1.58,1.01
2021,RN,1.58,-0.32
2021,SA,0.92,-1.17
2021,HA,-0.23,-3.93
2021,HR,1.37,-1.02
2021,AJ,0.95,-1.63
2021,GK,2.05,-0.54
2021,NZ,1.17,-1.1
2021,CU,0.54,-2.62
2021,HU,1.11,-1.31
2021,AA,1.75,0.58
2021,SE,2.28,1.39
2021,MB,0.06,-2.53
2021,CQ,2.1,-0.72
2021,NP,1.27,-1.1
2021,MO,1.41,-1.09
2021,PL,0.43,-2.93
2021,RE,1.39,1.12
2021,GT,0.74,-3.3
2021,LQ,0.47,-1.42
2021,AR,1.21,-1.18
2021,GI,1.45,-0.58
2021,GG,0.59,-2.36
2021,SB,-1.66,-2.97
2021,WF,0.14,-0.64
2021,WE,-1.33,-4.23
2021,BB,1.24,-0.8
2021,PK,0.23,-2.49
2021,RQ,1.09,-1.16
2021,CY,1.39,-1.17
2021,RI,1.38,-1.02
2021,SL,1.07,-1.62
2021,KN,0.38,-2.27
2021,BN,0.22,-1.97
2021,UZ,2.19,-0.37
2021,SW,0.98,-1.36
2021,EN,1.7,-0.8
2021,UG,0.41,-2.68
2021,QA,2.26,-0.36
2021,SF,0.12,-2.68
2021,CE,0.97,-1.78
2021,KS,1.46,-0.94
2021,NO,1.32,-1.16
2021,VC,1.08,-1.59
2021,UP,0.68,-2.63
2021,CT,-0.42,-4.43
2021,CN,1.8,0.58
2021,GJ,1.22,-0.84
2021,AV,2.13,0.37
2021,WA,0.89,-2.18
2021,RS,0.55,-2.75
2021,LH,0.79,-2.81
2021,LI,1.08,-1.09
2021,FG,2.25,0.3
2021,AQ,1.61,-1.11
2021,SN,1.66,-0.65
2021,NL,0.95,-1.37
2021,MR,1.24,-1.26
2021,SZ,1.35,-1.23
2021,WS,1.32,-0.87
2021,GY,0.93,-1.59
